Actual,Predicted
266311659.5,266311659.49999997
54047014.0,54047014.00000033
338252630.5,338252630.4999998
86002256.5,86002256.5000003
68545019.0,68545019.0000003
63270374.0,63270374.00000036
62720987.5,62720987.50000033
364791842.5,364791842.49999976
419752308.0,419752307.9999997
218043336.5,218043336.50000006
350456303.5,350456303.49999976
375569960.0,375569959.99999976
101922607.5,101922607.50000027
94359829.0,94359829.00000036
216526903.0,216526903.00000006
368129128.0,368129127.99999976
263469333.0,263469332.99999997
160569874.0,160569874.00000015
314717890.5,314717890.4999999
411673528.0,411673527.9999997
178230383.5,178230383.50000012
188893735.5,188893735.50000012
325809654.0,325809653.9999999
191592240.5,191592240.50000012
267651681.5,267651681.49999994
290041524.0,290041523.99999994
344660687.0,344660686.9999998
353772091.5,353772091.4999998
126478987.5,126478987.50000021
320100113.0,320100112.9999999
147566933.0,147566933.00000018
48523191.0,48523191.00000036
83704970.0,83704970.0000003
248390575.0,248390575.0
242632423.0,242632423.00000003
430235202.5,430235202.4999997
332851206.0,332851205.9999999
234729923.5,234729923.5
345896141.0,345896140.9999998
350999499.5,350999499.4999998
313679353.0,313679352.9999999
134425495.0,134425495.00000024
301759895.5,301759895.4999999
369268220.5,369268220.49999976
198735668.0,198735668.0000001
331630183.5,331630183.4999998
39604733.5,39604733.50000036
320421378.5,320421378.4999999
260866508.5,260866508.49999997
452674953.0,452674952.99999964
198595892.0,198595892.0000001
223227976.5,223227976.50000003
187093219.0,187093219.00000012
422367758.5,422367758.49999964
326299603.0,326299602.9999999
54004337.5,54004337.50000036
284929834.5,284929834.49999994
179551891.5,179551891.50000012
441083675.5,441083675.49999964
371605384.5,371605384.49999976
354410099.5,354410099.49999976
75490344.0,75490344.0000003
235681988.0,235681988.00000003
56926002.5,56926002.50000036
195339310.0,195339310.0000001
399982003.5,399982003.49999976
342187234.0,342187233.9999998
171559132.0,171559132.00000012
288442447.0,288442446.99999994
53942902.5,53942902.50000036
393248173.5,393248173.49999976
76594340.0,76594340.00000033
238459519.0,238459519.00000003
374960305.5,374960305.49999976
281352787.5,281352787.49999994
98913523.0,98913523.00000027
421927666.5,421927666.49999964
270430477.5,270430477.5
227478559.0,227478559.00000003
440500201.0,440500200.99999964
423507176.0,423507175.99999964
363490062.0,363490061.99999976
132896158.5,132896158.50000021
113143958.5,113143958.50000027
117022979.0,117022979.00000027
353433213.5,353433213.49999976
54949125.0,54949125.00000036
93966207.0,93966207.00000027
236808143.0,236808143.0
428401324.0,428401323.99999964
361958000.5,361958000.49999976
93969199.0,93969199.00000027
447343072.5,447343072.49999964
443821565.5,443821565.49999964
316965045.5,316965045.4999999
250488823.5,250488823.5
285266494.5,285266494.49999994
445295371.5,445295371.49999964
203852996.0,203852996.0000001
360533287.5,360533287.4999998
337191193.5,337191193.4999998
263088793.5,263088793.49999997
276733545.5,276733545.49999994
390053028.5,390053028.49999976
349198885.0,349198884.9999998
448282397.0,448282396.99999964
215855475.0,215855475.00000006
261194642.0,261194642.0
226771326.0,226771326.00000003
114063369.0,114063369.00000025
254966750.0,254966750.00000003
218267798.5,218267798.50000006
253500719.5,253500719.49999997
65676164.5,65676164.50000033
157889386.0,157889386.00000015
353418924.0,353418923.9999998
306026617.5,306026617.49999994
81278602.5,81278602.5000003
45766005.0,45766005.00000036
452308995.0,452308994.99999964
239836419.0,239836419.0
378431802.0,378431801.99999976
214549141.5,214549141.50000006
43037159.5,43037159.50000039
313303125.5,313303125.4999999
246285681.0,246285681.0
457016626.0,457016625.99999964
65222421.5,65222421.50000033
289183495.0,289183494.99999994
245400078.5,245400078.5
107672559.0,107672559.00000027
235825007.5,235825007.50000003
453973587.5,453973587.49999964
